其他	罗锅轶事	20
其他	英云梦传	18
其他	英烈传	80
其他	茅亭客话	89
其他	荣枯鉴	10
其他	蕉叶帕	16
其他	西京杂记	6
其他	豆棚闲话	14
其他	赵太祖三下南唐	54
其他	跻云楼	14
其他	轰天雷	14
其他	返生香	15
其他	通天乐	13
其他	酉阳杂俎	43
其他	醒名花	16
其他	醒风流	21
其他	钟吕传道集	18
其他	长春真人西游记	0
其他	长短经	69
其他	雪月梅	55
其他	青城山隐者记	1
其他	青龙传	4
其他	风月鉴	18
其他	风流悟	8
其他	飞花咏	17
其他	飞跎全传	33
其他	驻春园小史	27
其他	鬼谷四友志	14
其他	魏晋世语	1
其他	麟儿报	17
其他	黄绣球	30
其他	龙凤再生缘	74
历史演义	三国演义	120
历史演义	上古秘史	159
历史演义	东周列国志	108
历史演义	东汉演义	32
历史演义	东汉秘史	63
历史演义	东西晋演义	347
历史演义	中朝故事	2
历史演义	二十四史通俗演义	60
历史演义	五代残唐	60
历史演义	五代秘史	60
历史演义	五虎平南	42
历史演义	五虎征西	112
历史演义	北史演义	64
历史演义	南北史演义	100
历史演义	南史演义	36
历史演义	南朝秘史	32
历史演义	周朝秘史	70
历史演义	唐代宫廷艳史	104
历史演义	唐国史补	3
历史演义	夏商野史	31
历史演义	大宋中兴通俗演义	75
历史演义	姜氏秘史	5
历史演义	宋代十八朝艳史演义	102
历史演义	宋代宫闱史	99
历史演义	开辟演义	80
历史演义	张文祥刺马案	37
历史演义	御香缥缈录	35
历史演义	明代宫闱史	120
历史演义	昭君艳史演义	18
历史演义	杨太真外传	1
历史演义	樵史通俗演义	40
历史演义	武瞾传	0
历史演义	汉代宫廷艳史	120
历史演义	清代宫廷艳史	101
历史演义	狄青演义	68
历史演义	皇清秘史	132
历史演义	禅真后史	54
历史演义	禅真逸史	41
历史演义	续三国演义	146
历史演义	续英烈传	33
历史演义	西太后艳史演义	32
历史演义	西施艳史演	18
历史演义	西汉演义	102
历史演义	说唐	66
历史演义	貂蝉艳史演义	18
历史演义	贵妃艳史演义	20
历史演义	长春真人西游记	3
历史演义	隋代宫闱史	100
历史演义	隋史遗文	0
历史演义	隋唐两朝志传	122
历史演义	隋唐演义	102
历史演义	隋炀帝艳史	40
历史演义	青红帮演义	31
历史演义	飞龙全传	61
英雄传奇	七剑十三侠	184
英雄传奇	万花楼	68
英雄传奇	三侠五义	120
英雄传奇	五鼠闹东京	7
英雄传奇	仙侠五花剑	31
英雄传奇	儿女英雄传	42
英雄传奇	剑侠传	1
英雄传奇	后水浒传	48
英雄传奇	呼家将	41
英雄传奇	小五义	125
英雄传奇	廿年繁华梦	41
英雄传奇	木兰奇女传	34
英雄传奇	杨家将传	50
英雄传奇	桂苑丛谈	10
英雄传奇	次柳氏旧闻	1
英雄传奇	水浒传	121
英雄传奇	水浒后传	41
英雄传奇	游仙窟	4
英雄传奇	满汉斗	8
英雄传奇	燕丹子	1
英雄传奇	章台柳	18
英雄传奇	笏山记	69
英雄传奇	粉妆楼	81
英雄传奇	续小五义	126
英雄传奇	续英烈传	34
英雄传奇	英雄泪	28
英雄传奇	荡寇志	75
英雄传奇	薛刚反唐	100
英雄传奇	薛家将	226
英雄传奇	说岳全传	82
英雄传奇	野叟曝言	154
英雄传奇	金台全传	60
英雄传奇	银瓶梅	23
英雄传奇	隋史遗文	60
英雄传奇	韩湘子全传	31
谴责公案	九命奇冤	19
谴责公案	九尾狐	65
谴责公案	二十年目睹之怪现状	107
谴责公案	于公案	145
谴责公案	今古奇观	41
谴责公案	儒林外史	57
谴责公案	冷眼观	30
谴责公案	刘公案	144
谴责公案	刘墉传奇	107
谴责公案	劫余灰	16
谴责公案	包公传	102
谴责公案	十尾龟	40
谴责公案	孽海花	35
谴责公案	官场现形记	61
谴责公案	廿载繁华梦	41
谴责公案	彭公案	341
谴责公案	快士传	17
谴责公案	斯文变相	10
谴责公案	施公案	526
谴责公案	春阿氏谋夫案	18
谴责公案	杀子报	20
谴责公案	李公案	34
谴责公案	杨乃武与小白菜	43
谴责公案	林公案	61
谴责公案	梼杌萃编	25
谴责公案	毛公案	6
谴责公案	海公大红袍全传	60
谴责公案	海公小红袍全传	42
谴责公案	海刚峰先生居官公案传	72
谴责公案	狄公案	64
谴责公案	皇明诸司公案	59
谴责公案	老残游记	0
谴责公案	老残游记续集	11
谴责公案	胡涂世界	12
谴责公案	蓝公案	24
谴责公案	近世社会龌龊史	21
谴责公案	郭公案	41
谴责公案	鸳鸯针	5
谴责公案	龙图公案	100
鬼怪神魔	三遂平妖传	20
鬼怪神魔	东度记	99
鬼怪神魔	东游记	56
鬼怪神魔	仙杂记	10
鬼怪神魔	八仙得道	100
鬼怪神魔	北游记	4
鬼怪神魔	升仙传	56
鬼怪神魔	南海观音菩萨出身修行传	25
鬼怪神魔	南游记	18
鬼怪神魔	后西游记	41
鬼怪神魔	咒枣记	15
鬼怪神魔	唐三藏西游释厄传	66
鬼怪神魔	唐钟馗平鬼传	16
鬼怪神魔	大唐三藏取经诗话	18
鬼怪神魔	天女散花	13
鬼怪神魔	夷坚志	1131
鬼怪神魔	女仙外史	101
鬼怪神魔	女聊斋志异	90
鬼怪神魔	妆钿铲传	28
鬼怪神魔	妖狐艳史	13
鬼怪神魔	子不语	25
鬼怪神魔	封神演义	100
鬼怪神魔	山海经	20
鬼怪神魔	搜神后记	10
